2024-11-06 11:50:14,237 - INFO - 
Training epoch: 1
2024-11-06 11:51:40,738 - INFO - [('epoch', 1), ('iter', 360826), ('l_d2', 0.6854171752929688), ('l_g2', 0.06578632444143295), ('l_l1', 0.11915093660354614), ('l_per', 0.06960519403219223), ('l_sty', 0.07148398458957672)]
2024-11-06 11:51:43,592 - INFO - [('epoch', 1), ('iter', 360827), ('l_d2', 0.6967269778251648), ('l_g2', 0.05853760987520218), ('l_l1', 0.11276393383741379), ('l_per', 0.07147933542728424), ('l_sty', 0.07184547930955887)]
2024-11-06 11:51:46,395 - INFO - [('epoch', 1), ('iter', 360828), ('l_d2', 0.6895818710327148), ('l_g2', 0.06292103230953217), ('l_l1', 0.09554514288902283), ('l_per', 0.07634223997592926), ('l_sty', 0.07897337526082993)]
2024-11-06 11:51:49,475 - INFO - [('epoch', 1), ('iter', 360829), ('l_d2', 0.6901249885559082), ('l_g2', 0.06024165078997612), ('l_l1', 0.1210964024066925), ('l_per', 0.07781068235635757), ('l_sty', 0.07850438356399536)]
2024-11-06 11:51:52,401 - INFO - [('epoch', 1), ('iter', 360830), ('l_d2', 0.6909281611442566), ('l_g2', 0.06243651732802391), ('l_l1', 0.10619336366653442), ('l_per', 0.07226282358169556), ('l_sty', 0.07009053975343704)]
2024-11-06 11:51:55,252 - INFO - [('epoch', 1), ('iter', 360831), ('l_d2', 0.687728762626648), ('l_g2', 0.06030828878283501), ('l_l1', 0.11969943344593048), ('l_per', 0.08593142777681351), ('l_sty', 0.08424817025661469)]
2024-11-06 11:51:58,103 - INFO - [('epoch', 1), ('iter', 360832), ('l_d2', 0.6921494603157043), ('l_g2', 0.06255359947681427), ('l_l1', 0.11822780966758728), ('l_per', 0.07504577189683914), ('l_sty', 0.07406044751405716)]
2024-11-06 11:52:00,904 - INFO - [('epoch', 1), ('iter', 360833), ('l_d2', 0.688632071018219), ('l_g2', 0.06076815724372864), ('l_l1', 0.11359768360853195), ('l_per', 0.08276615291833878), ('l_sty', 0.0855853408575058)]
2024-11-06 11:52:03,759 - INFO - [('epoch', 1), ('iter', 360834), ('l_d2', 0.6952623724937439), ('l_g2', 0.060200780630111694), ('l_l1', 0.10595636069774628), ('l_per', 0.07411909103393555), ('l_sty', 0.07397850602865219)]
2024-11-06 11:52:06,698 - INFO - [('epoch', 1), ('iter', 360835), ('l_d2', 0.6848855018615723), ('l_g2', 0.06388132274150848), ('l_l1', 0.11469058692455292), ('l_per', 0.08319249004125595), ('l_sty', 0.08890296518802643)]
